No	class	name	modifier	type	prm_name	ja	en
55	DecimalTool	signum		desc		"符号値
1, -1, 0の場合は0を返す"	
56	DecimalTool	signum		returns			
57	DecimalTool	sign		desc		"符号値
1, -1, 0の場合は0を返す"	
58	DecimalTool	sign		returns			
59	DecimalTool	precision		desc		精度	
60	DecimalTool	precision		returns			
61	DecimalTool	unscaledValue		desc		指数表記部分を取り除いた整数	An integer with the exponent part removed.
62	DecimalTool	unscaledValue		returns			
63	DecimalTool	toScientificNotation		desc		科学的表記法を用いて文字列化	Convert to string using scientific notation.
64	DecimalTool	toScientificNotation		param	e_len	指数部の桁数	
65	DecimalTool	toScientificNotation		returns	e_len		
66	DecimalTool	toString		desc		文字列化	Convert to string.
67	DecimalTool	toString		returns			
68	DecimalTool	toEngineeringString		desc		"技術表記法による文字列化
指数が不要の場合は指数表記なし"	Convert to string usding technical notation.
69	DecimalTool	toEngineeringString		returns			
70	DecimalTool	toPlainString		desc		指数表記なしで文字列化	Convert to string without exponential notation.
71	DecimalTool	toPlainString		returns			
72	DecimalTool	ulp		desc		設定された精度で表すことができる最も小さな値	The smallest value that can be represented with the set precision.
73	DecimalTool	ulp		returns			
74	DecimalTool	setScale		desc		スケールの再設定	
75	DecimalTool	setScale		param	new_scale	新しいスケール	
76	DecimalTool	setScale		param	rounding_mode	精度を変換する際の丸め方	
77	DecimalTool	setScale		param	mc	切り替え先の設定（これのみ変更する場合は、roundを使用すること）	
78	DecimalTool	setScale		returns	mc		
79	DecimalTool	round		desc		環境設定を切り替える	
80	DecimalTool	round		param	mc	切り替え先の設定	
81	DecimalTool	round		returns	mc		
82	DecimalTool	abs		desc		絶対値	
83	DecimalTool	abs		param	mc	計算に使用する設定	
84	DecimalTool	abs		returns	mc	abs(A)	
85	DecimalTool	plus		desc		正数	
86	DecimalTool	plus		param	mc	計算に使用する設定	
87	DecimalTool	plus		returns	mc	+A	
88	DecimalTool	negate		desc		負数	
89	DecimalTool	negate		param	mc	計算に使用する設定	
90	DecimalTool	negate		returns	mc	-A	
91	DecimalTool	compareTo		desc		値同士を比較	
92	DecimalTool	compareTo		param	number		
93	DecimalTool	compareTo		returns	number	A > B ? 1 : (A === B ? 0 : -1)	
94	DecimalTool	equals		desc		"等式
精度やスケール含めて等しいかをテストする"	
95	DecimalTool	equals		param	number		
96	DecimalTool	equals		returns	number	A === B	
97	DecimalTool	max		desc		最大値	
98	DecimalTool	max		param	number		
99	DecimalTool	max		returns	number	"max([A, B])"	
100	DecimalTool	min		desc		最小値	
101	DecimalTool	min		param	number		
102	DecimalTool	min		returns	number	"min([A, B])"	
103	DecimalTool	clip		desc		数値を範囲に収める	
104	DecimalTool	clip		param	min		
105	DecimalTool	clip		param	max		
106	DecimalTool	clip		returns	max	"min(max(x, min), max)"	
107	DecimalTool	scaleByPowerOfTen		desc		精度は変更させずスケールのみを変更させ10の倍数を乗算	
108	DecimalTool	scaleByPowerOfTen		param	n		
109	DecimalTool	scaleByPowerOfTen		returns	n	A * 10^floor(n)	
110	DecimalTool	movePointLeft		desc		小数点の位置を左へ移動	
111	DecimalTool	movePointLeft		param	n		
112	DecimalTool	movePointLeft		returns	n		
113	DecimalTool	movePointRight		desc		小数点の位置を右へ移動	
114	DecimalTool	movePointRight		param	n		
115	DecimalTool	movePointRight		returns	n		
116	DecimalTool	stripTrailingZeros		desc		数字の右側にある0を取り除き、スケールを正規化	
117	DecimalTool	stripTrailingZeros		returns			
118	DecimalTool	add		desc		加算	
119	DecimalTool	add		param	number		
120	DecimalTool	add		param	context	計算に使用する設定、省略した場合は、加算先の設定デフォルト値を使用する	
121	DecimalTool	add		returns	context	A + B	
122	DecimalTool	subtract		desc		減算	
123	DecimalTool	subtract		param	number		
124	DecimalTool	subtract		param	context	計算に使用する設定、省略した場合は、減算先の設定デフォルト値を使用する	
125	DecimalTool	subtract		returns	context	A - B	
126	DecimalTool	sub		desc		減算	
127	DecimalTool	sub		param	number		
128	DecimalTool	sub		param	context	計算に使用する設定、省略した場合は、減算先の設定デフォルト値を使用する	
129	DecimalTool	sub		returns	context	A - B	
130	DecimalTool	multiply		desc		乗算	
131	DecimalTool	multiply		param	number		
132	DecimalTool	multiply		param	context	計算に使用する設定、省略した場合は、乗算先の設定デフォルト値を使用する	
133	DecimalTool	multiply		returns	context	A * B	
134	DecimalTool	mul		desc		乗算	
135	DecimalTool	mul		param	number		
136	DecimalTool	mul		param	context	計算に使用する設定、省略した場合は、乗算先の設定デフォルト値を使用する	
137	DecimalTool	mul		returns	context	A * B	
138	DecimalTool	divideToIntegralValue		desc		小数点まで求めない割り算	
139	DecimalTool	divideToIntegralValue		param	number		
140	DecimalTool	divideToIntegralValue		param	context	計算に使用する設定、省略した場合は、割る先の設定デフォルト値を使用する	
141	DecimalTool	divideToIntegralValue		returns	context	(int)(A / B)	
142	DecimalTool	divideAndRemainder		desc		割り算と余り	
143	DecimalTool	divideAndRemainder		param	number		
144	DecimalTool	divideAndRemainder		param	context	計算に使用する設定、省略した場合は、割る先の設定デフォルト値を使用する	
145	DecimalTool	divideAndRemainder		returns	context	"[C = (int)(A / B), A - C * B]"	
146	DecimalTool	rem		desc		割り算の余り	
147	DecimalTool	rem		param	number		
148	DecimalTool	rem		param	context	計算に使用する設定、省略した場合は、割る先の設定デフォルト値を使用する	
149	DecimalTool	rem		returns	context	A % B	
150	DecimalTool	mod		desc		割り算の正の余り	
151	DecimalTool	mod		param	number		
152	DecimalTool	mod		param	context	計算に使用する設定、省略した場合は、割る先の設定デフォルト値を使用する	
153	DecimalTool	mod		returns	context	A mod B	
154	DecimalTool	divide		desc		割り算	
155	DecimalTool	divide		param	number		
156	DecimalTool	divide		param	type	"計算に使用する scale, context, roundingMode を設定する"	
157	DecimalTool	divide		returns	type		
158	DecimalTool	div		desc		割り算	
159	DecimalTool	div		param	number		
160	DecimalTool	div		param	type	"計算に使用する scale, context, roundingMode を設定する"	
161	DecimalTool	div		returns	type	A / B	
162	DecimalTool	toBigInteger		desc		BigInteger に変換	Convert to BigInteger.
163	DecimalTool	toBigInteger		returns			
164	DecimalTool	toBigIntegerExact		desc		"BigInteger に変換
変換に失敗した場合は例外を発生"	"Convert to BigInteger.
An error occurs if conversion fails."
165	DecimalTool	toBigIntegerExact		returns			
166	DecimalTool	intValue	get	desc		32ビット整数に変換	
167	DecimalTool	intValue	get	returns			
168	DecimalTool	intValueExact	get	desc		"32ビット整数に変換
変換に失敗した場合は例外"	
169	DecimalTool	intValueExact	get	returns			
170	DecimalTool	floatValue	get	desc		32ビット実数に変換	
171	DecimalTool	floatValue	get	returns			
172	DecimalTool	doubleValue	get	desc		64ビット実数に変換	
173	DecimalTool	doubleValue	get	returns			
174	DecimalTool	pow		desc		"累乗
巨大な乗算をする場合は例外を発生させる"	
175	DecimalTool	pow		param	number		
176	DecimalTool	pow		param	context	計算に使用する設定、省略した場合は、累乗先の設定デフォルト値を使用する	
177	DecimalTool	pow		returns	context	"pow(A, B)"	
178	DecimalTool	setDefaultContext	static	desc		オブジェクトを新規作成時に環境設定を変更しなかった場合に設定されるデフォルト設定	
179	DecimalTool	setDefaultContext	static	param	context		
180	DecimalTool	getDefaultContext	static	desc		オブジェクトを新規作成時に環境設定を変更しなかった場合に設定されるデフォルト設定を取得	
181	DecimalTool	getDefaultContext	static	returns			
182	DecimalTool	ZERO	static get	desc		0	0
183	DecimalTool	ZERO	static get	returns		0	
184	DecimalTool	ONE	static get	desc		1	
185	DecimalTool	ONE	static get	returns		1	
186	DecimalTool	TWO	static get	desc		2	2
187	DecimalTool	TWO	static get	returns		2	
188	DecimalTool	TEN	static get	desc		10	
189	DecimalTool	TEN	static get	returns		10	
190	DecimalTool	DEFINE	const	desc		内部で使用する定数値	
191	DecimalTool	ZERO		desc		0	0
192	DecimalTool	ONE		desc		1	
193	DecimalTool	TWO		desc		2	2
194	DecimalTool	TEN		desc		10	
195		DEFAULT_RANDOM	let	desc		乱数用クラスを指定しなかった場合に使用するデフォルト乱数クラス	
196	IntegerTool	IntegerTool	class	desc		BigInteger 内で使用する関数群	
197	IntegerTool	string_to_binary_number	static	desc		数値が入った文字列から16進数ごとの配列へ変換する	
198	IntegerTool	string_to_binary_number	static	param	text	数値が入ったテキストデータ（負の値などを含めない）	
199	IntegerTool	string_to_binary_number	static	param	radix	テキストデータの進数	
200	IntegerTool	string_to_binary_number	static	returns	radix	_16進数ごとに代入された配列	
201	IntegerTool	number_to_binary_number	static	desc		数値から16進数ごとの配列へ変換する	
202	IntegerTool	number_to_binary_number	static	param	x	変換したい数値	
203	IntegerTool	number_to_binary_number	static	returns	x	_16進数ごとに代入された配列	
204	IntegerTool	binary_number_to_string	static	desc		16進数の配列データから数列が入った文字列を作成	
205	IntegerTool	binary_number_to_string	static	param	binary	16進数ごとに代入された配列	
206	IntegerTool	binary_number_to_string	static	param	radix	変換後の進数	
207	IntegerTool	binary_number_to_string	static	returns	radix	指定した進数で桁ごとに代入された数値配列	
208	IntegerTool	ToBigIntegerFromString	static	desc		文字列から多倍長数値を表すためのデータを作成	Create data to represent multi-precision numbers from strings.
209	IntegerTool	ToBigIntegerFromString	static	param	text	数値が入ったテキストデータ	
210	IntegerTool	ToBigIntegerFromString	static	param	radix	テキストデータの進数	
211	IntegerTool	ToBigIntegerFromString	static	returns	radix	多倍長数値を表すためのデータ	
212	IntegerTool	export		desc		多倍長整数演算クラス (immutable)	
213	IntegerTool	constructor		desc		"多倍長整数を作成
文字列で指定する場合は指数表記には非対応。
指定した進数で指定する場合は[""ff"", 16] という配列で指定する。"	
214	IntegerTool	constructor		param	number	整数値	
215	IntegerTool	this.element		desc		1要素、16ビット整数の配列	An integer consisting of 16 bits per element of the array.
216	IntegerTool	this._sign		desc		"正負（プラスなら+1、マイナスなら-1、0なら0）
※計算によってはここの値の再設定をしていない箇所があるので、ここを見る時は注意"	
217	IntegerTool	create	static	desc		BigIntegerを作成する	
218	IntegerTool	create	static	param	number		
219	IntegerTool	create	static	returns	number		
220	IntegerTool	valueOf	static	desc		指定した数値から BigInteger 型に変換	Convert number to BigInteger type.
221	IntegerTool	valueOf	static	param	number		
222	IntegerTool	valueOf	static	returns	number		
223	IntegerTool	_toBigInteger	static	desc		BigInteger を作成	
224	IntegerTool	_toBigInteger	static	param	number		
225	IntegerTool	_toBigInteger	static	returns	number		
226	IntegerTool	_toFloat	static	desc		実数を作成	
227	IntegerTool	_toFloat	static	param	number		
228	IntegerTool	_toFloat	static	returns	number		
229	IntegerTool	_toInteger	static	desc		整数を作成	
230	IntegerTool	_toInteger	static	param	number		
231	IntegerTool	_toInteger	static	returns	number		
232	IntegerTool	createRandomBigInteger	static	desc		指定したビット数以内の乱数	
233	IntegerTool	createRandomBigInteger	static	param	bitsize	作成する乱数のビット数	
234	IntegerTool	createRandomBigInteger	static	param	random	作成に使用するRandom	
235	IntegerTool	createRandomBigInteger	static	returns	random		
236	IntegerTool	probablePrime	static	desc		指定したビット数以内の素数	
237	IntegerTool	probablePrime	static	param	bits	作成する素数の乱数のビット数	
238	IntegerTool	probablePrime	static	param	random	作成に使用するRandom	
239	IntegerTool	probablePrime	static	param	certainty	ミラーラビン素数判定法に使用する繰り返し回数	
240	IntegerTool	probablePrime	static	param	create_count	乱数生成回数	
241	IntegerTool	probablePrime	static	returns	create_count		
242	IntegerTool	equals		desc		等式	
243	IntegerTool	equals		param	number		
244	IntegerTool	equals		returns	number	A === B	
245	IntegerTool	toString		desc		文字列化	Convert to string.
246	IntegerTool	toString		param	radix	文字列変換後の進数	
247	IntegerTool	toString		returns	radix		
248	IntegerTool	getShort		desc		16進数ごとの配列で構成される内部値の指定した位置の値	
249	IntegerTool	getShort		param	point	内部配列の位置	
250	IntegerTool	getShort		returns	point		
251	IntegerTool	intValue	get	desc		"32ビット整数値
数値が大きいなど、収まりきらない場合に正確な数値にならない場合がある"	
252	IntegerTool	intValue	get	returns			
253	IntegerTool	longValue	get	desc		"64ビット整数値
数値が大きいなど、収まりきらない場合に正確な数値にならない場合がある"	
254	IntegerTool	longValue	get	returns			
255	IntegerTool	doubleValue	get	desc		"64ビット実数値
数値が大きいなど、収まりきらない場合に正確な数値にならない場合がある"	
256	IntegerTool	doubleValue	get	returns			
257	IntegerTool	clone		desc		ディープコピー	
258	IntegerTool	clone		returns			
259	IntegerTool	isNegative		desc		実部の負数を判定	
260	IntegerTool	isNegative		returns		real(x) < 0	
261	IntegerTool	isZero		desc		0 を判定	
262	IntegerTool	isZero		returns		A === 0	
263	IntegerTool	isPositive		desc		正数を判定	
264	IntegerTool	isPositive		returns		real(x) > 0	
265	IntegerTool	getLowestSetBit		desc		2進数で表した場合に最も右側に現れる1の桁数	
266	IntegerTool	getLowestSetBit		returns		存在しない場合は -1	
267	IntegerTool	bitLength		desc		2進数で表した場合の長さ	
268	IntegerTool	bitLength		returns			
269	IntegerTool	bitCount		desc		2の補数表現で表した場合に立つビットの数	
270	IntegerTool	bitCount		returns			
271	IntegerTool	getTwosComplement		desc		加算に適用できる数値（負の場合は、2の補数表現）	
272	IntegerTool	getTwosComplement		param	bit_length	ビット長（省略時は自動計算）	
273	IntegerTool	getTwosComplement		returns	bit_length		
274	IntegerTool	_and		desc		論理積（ミュータブル）	
275	IntegerTool	_and		param	number		
276	IntegerTool	_and		returns	number	A &= B	
277	IntegerTool	and		desc		論理積	
278	IntegerTool	and		param	number		
279	IntegerTool	and		returns	number	A & B	
280	IntegerTool	_or		desc		論理和（ミュータブル）	
281	IntegerTool	_or		param	number		
282	IntegerTool	_or		returns	number	A |= B	
283	IntegerTool	or		desc		論理和	
284	IntegerTool	or		param	number		
285	IntegerTool	or		returns	number	A | B	
286	IntegerTool	_xor		desc		排他的論理和（ミュータブル）	
287	IntegerTool	_xor		param	number		
288	IntegerTool	_xor		returns	number	A ^= B	
289	IntegerTool	xor		desc		排他的論理和	Exclusive OR.
290	IntegerTool	xor		param	number		
291	IntegerTool	xor		returns	number	A ^ B	
292	IntegerTool	_not		desc		ビット反転	
293	IntegerTool	_not		returns		A = !A	
294	IntegerTool	not		desc		ビット反転（ミュータブル）	
295	IntegerTool	not		returns		!A	
296	IntegerTool	_andNot		desc		否定論理積（ミュータブル）	
297	IntegerTool	_andNot		param	number		
298	IntegerTool	_andNot		returns	number	A &= (!B)	
299	IntegerTool	andNot		desc		否定論理積	
300	IntegerTool	andNot		param	number		
301	IntegerTool	andNot		returns	number	A & (!B)	
302	IntegerTool	_nand		desc		否定論理積（ミュータブル）	
303	IntegerTool	_nand		param	number		
304	IntegerTool	_nand		returns	number	A &= (!B)	
305	IntegerTool	nand		desc		否定論理積	
306	IntegerTool	nand		param	number		
307	IntegerTool	nand		returns	number	A & (!B)	
308	IntegerTool	_orNot		desc		否定論理和（ミュータブル）	
309	IntegerTool	_orNot		param	number		
310	IntegerTool	_orNot		returns	number	A = !(A | B)	
311	IntegerTool	orNot		desc		否定論理和	
312	IntegerTool	orNot		param	number		
313	IntegerTool	orNot		returns	number	!(A | B)	
314	IntegerTool	_nor		desc		否定論理和（ミュータブル）	
315	IntegerTool	_nor		param	number		
316	IntegerTool	_nor		returns	number	A = !(A | B)	
317	IntegerTool	nor		desc		否定論理和	
318	IntegerTool	nor		param	number		
319	IntegerTool	nor		returns	number	!(A | B)	
320	IntegerTool	_memory_allocation		desc		指定したビット長まで配列を拡張（ミュータブル）	
321	IntegerTool	_memory_allocation		param	bit_length	ビット数	
322	IntegerTool	_memory_reduction		desc		内部データの正規化（ミュータブル）	
323	IntegerTool	gcd		desc		ユークリッド互除法	
324	IntegerTool	gcd		param	number		
325	IntegerTool	gcd		returns	number	"gcd(x, y)"	
326	IntegerTool	x	let	desc			
327	IntegerTool	extgcd		desc		拡張ユークリッド互除法	
328	IntegerTool	extgcd		param	number		
329	IntegerTool	extgcd		returns	number	"a*x + b*y = c = gcd(x, y) となる [a, b, c]"	
330	IntegerTool	r0	let	desc			
331	IntegerTool	_abs		desc		絶対値（ミュータブル）	
332	IntegerTool	_abs		returns		A = abs(A)	
333	IntegerTool	abs		desc		絶対値	
334	IntegerTool	abs		returns		abs(A)	
335	IntegerTool	_negate		desc		負数（ミュータブル）	
336	IntegerTool	_negate		returns		A = -A	
337	IntegerTool	negate		desc		負数	
338	IntegerTool	negate		returns		-A	
339	IntegerTool	signum		desc		符号値	
340	IntegerTool	signum		returns		"1, -1, 0の場合は0を返す"	
341	IntegerTool	sign		desc		符号値	
342	IntegerTool	sign		returns		"1, -1, 0の場合は0を返す"	
343	IntegerTool	compareToAbs		desc		符号を除いた値同士を比較	
344	IntegerTool	compareToAbs		param	number		
345	IntegerTool	compareToAbs		returns	number	abs(A) < abs(B) ? 1 : (abs(A) === abs(B) ? 0 : -1)	
346	IntegerTool	compareTo		desc		値同士を比較	
347	IntegerTool	compareTo		param	number		
348	IntegerTool	compareTo		returns	number	A > B ? 1 : (A === B ? 0 : -1)	
349	IntegerTool	max		desc		最大値	
350	IntegerTool	max		param	number		
351	IntegerTool	max		returns	number	"max([A, B])"	
352	IntegerTool	min		desc		最小値	
353	IntegerTool	min		param	number		
354	IntegerTool	min		returns	number	"min([A, B])"	
355	IntegerTool	clip		desc		数値を範囲に収める	
356	IntegerTool	clip		param	min		
357	IntegerTool	clip		param	max		
358	IntegerTool	clip		returns	max	"min(max(x, min), max)"	
359	IntegerTool	_shift		desc		ビットシフト（ミュータブル）	
360	IntegerTool	_shift		param	shift_length	上位へのビットシフト数	
361	IntegerTool	_shift		returns	shift_length	A <<= n	
362	IntegerTool	shift		desc		ビットシフト	
363	IntegerTool	shift		param	n		
364	IntegerTool	shift		returns	n	A << n	
365	IntegerTool	shiftLeft		desc		左へビットシフト	
366	IntegerTool	shiftLeft		param	n		
367	IntegerTool	shiftLeft		returns	n	A << n	
368	IntegerTool	shiftRight		desc		右へビットシフト	
369	IntegerTool	shiftRight		param	n		
370	IntegerTool	shiftRight		returns	n	A >> n	
371	IntegerTool	_add		desc		加算（ミュータブル）	
372	IntegerTool	_add		param	number		
373	IntegerTool	_add		returns	number	A += B	
374	IntegerTool	add		desc		加算	
375	IntegerTool	add		param	number		
376	IntegerTool	add		returns	number	A + B	
377	IntegerTool	_subtract		desc		減算（ミュータブル）	
378	IntegerTool	_subtract		param	number		
379	IntegerTool	_subtract		returns	number	A -= B	
380	IntegerTool	subtract		desc		減算	
381	IntegerTool	subtract		param	number		
382	IntegerTool	subtract		returns	number	A - B	
383	IntegerTool	sub		desc		減算	
384	IntegerTool	sub		param	number		
385	IntegerTool	sub		returns	number	A - B	
386	IntegerTool	_multiply		desc		乗算（ミュータブル）	
387	IntegerTool	_multiply		param	number		
388	IntegerTool	_multiply		returns	number	A *= B	
389	IntegerTool	multiply		desc		乗算	
390	IntegerTool	multiply		param	number		
391	IntegerTool	multiply		returns	number	A * B	
392	IntegerTool	mul		desc		乗算	
393	IntegerTool	mul		param	number		
394	IntegerTool	mul		returns	number	A * B	
395	IntegerTool	_divideAndRemainder		desc		割り算と余り（ミュータブル）	
396	IntegerTool	_divideAndRemainder		param	number		
397	IntegerTool	_divideAndRemainder		returns	number	"[C = floor(A / B), A - C * B]"	
398	IntegerTool	divideAndRemainder		desc		割り算と余り	
399	IntegerTool	divideAndRemainder		param	number		
400	IntegerTool	divideAndRemainder		returns	number	"[C = floor(A / B), A - C * B]"	
401	IntegerTool	_divide		desc		割り算（ミュータブル）	
402	IntegerTool	_divide		param	number		
403	IntegerTool	_divide		returns	number	floor(A / B)	
404	IntegerTool	divide		desc		割り算	
405	IntegerTool	divide		param	number		
406	IntegerTool	divide		returns	number	floor(A / B)	
407	IntegerTool	div		desc		割り算	
408	IntegerTool	div		param	number		
409	IntegerTool	div		returns	number	floor(A / B)	
410	IntegerTool	_remainder		desc		割り算の余り（ミュータブル）	
411	IntegerTool	_remainder		param	number		
412	IntegerTool	_remainder		returns	number	A %= B	
413	IntegerTool	remainder		desc		割り算の余り	
414	IntegerTool	remainder		param	number		
415	IntegerTool	remainder		returns	number	A % B	
416	IntegerTool	rem		desc		割り算の余り	
417	IntegerTool	rem		param	number		
418	IntegerTool	rem		returns	number	A % B	
419	IntegerTool	_mod		desc		割り算の正の余り（ミュータブル）	
420	IntegerTool	_mod		param	number		
421	IntegerTool	_mod		returns	number	A = A mod B	
422	IntegerTool	mod		desc		割り算の正の余り	
423	IntegerTool	mod		param	number		
424	IntegerTool	mod		returns	number	A mod B	
425	IntegerTool	_setBit		desc		特定のビットを立てる（ミュータブル）	
426	IntegerTool	_setBit		param	bit		
427	IntegerTool	_setBit		returns	bit		
428	IntegerTool	setBit		desc		特定のビットを立てる	
429	IntegerTool	setBit		param	bit		
430	IntegerTool	setBit		returns	bit		
431	IntegerTool	_flipBit		desc		特定のビットを反転させる（ミュータブル）	
432	IntegerTool	_flipBit		param	bit		
433	IntegerTool	_flipBit		returns	bit		
434	IntegerTool	flipBit		desc		特定のビットを反転させる	
435	IntegerTool	flipBit		param	bit		
436	IntegerTool	flipBit		returns	bit		
437	IntegerTool	clearBit		desc		特定のビットを下げる	
438	IntegerTool	clearBit		param	bit		
439	IntegerTool	clearBit		returns	bit		
440	IntegerTool	testBit		desc		指定のビットの判定	
441	IntegerTool	testBit		param	bit		
442	IntegerTool	testBit		returns	bit		
443	IntegerTool	pow		desc		累乗	
444	IntegerTool	pow		param	exponent		
445	IntegerTool	pow		returns	exponent	"pow(A, B)"	
446	IntegerTool	modPow		desc		冪剰余	
447	IntegerTool	modPow		param	exponent		
448	IntegerTool	modPow		param	m		
449	IntegerTool	modPow		returns	m	A^B mod m	
450	IntegerTool	modInverse		desc		モジュラ逆数	
451	IntegerTool	modInverse		param	m		
452	IntegerTool	modInverse		returns	m	A^(-1) mod m	
453	IntegerTool	isProbablePrime		desc		"ミラーラビン素数判定法による複素判定
（非常に重たいので注意）"	
454	IntegerTool	isProbablePrime		param	certainty	素数判定法の繰り返し回数	
455	IntegerTool	isProbablePrime		returns	certainty		
456	IntegerTool	nextProbablePrime		desc		次の素数	
457	IntegerTool	nextProbablePrime		param	certainty	素数判定法の繰り返し回数	
458	IntegerTool	nextProbablePrime		param	search_max	次の素数を見つけるまでの回数	
459	IntegerTool	nextProbablePrime		returns	search_max		
460	IntegerTool	factorial		desc		階乗関数	
461	IntegerTool	factorial		returns		n!	
462	IntegerTool	setDefaultRandom	static	desc		乱数を指定しなかった場合のデフォルト乱数を設定する	
463	IntegerTool	setDefaultRandom	static	param	random		
464	IntegerTool	getDefaultRandom	static	desc		乱数を指定しなかった場合のデフォルト乱数を取得する	
465	IntegerTool	getDefaultRandom	static	returns			
466	IntegerTool	ZERO	static get	desc		0	0
467	IntegerTool	ZERO	static get	returns		0	
468	IntegerTool	ONE	static get	desc		1	
469	IntegerTool	ONE	static get	returns		1	
470	IntegerTool	TWO	static get	desc		2	2
471	IntegerTool	TWO	static get	returns		2	
472	IntegerTool	TEN	static get	desc		10	
473	IntegerTool	TEN	static get	returns		10	
474	IntegerTool	DEFINE	const	desc		内部で使用する定数値	
475	IntegerTool	ONE		desc		1	
476	IntegerTool	TWO		desc		2	2
477	IntegerTool	TEN		desc		10	
478	IntegerTool	ZERO		desc		0	0
479		random_class	const	desc		Complex 内で使用する乱数生成クラス	
480	ComplexTool	ComplexTool	class	desc		Complex 内で使用する関数群	
481	ComplexTool	ToComplexFromString	static	desc		文字列から複素数用データの作成	Create data for complex numbers from strings.
482	ComplexTool	ToComplexFromString	static	param	text	解析したい文字列	
483	ComplexTool	ToComplexFromString	static	returns	text		
484	ComplexTool	export		desc		複素数クラス (immutable)	
485	ComplexTool	constructor		desc		複素数を作成	
486	ComplexTool	constructor		param	number	"複素数( ""1 + j"", [1 , 1] など)"	
487	ComplexTool	this._re		desc		実部	
488	ComplexTool	this._im		desc		虚部	
489	ComplexTool	create	static	desc		Complex を作成	
490	ComplexTool	create	static	param	number		
491	ComplexTool	create	static	returns	number		
492	ComplexTool	valueOf	static	desc		指定した数値から Complex 型に変換	Convert number to Complex type.
493	ComplexTool	valueOf	static	param	number		
494	ComplexTool	valueOf	static	returns	number		
495	ComplexTool	_toComplex	static	desc		複素数を作成	
496	ComplexTool	_toComplex	static	param	number		
497	ComplexTool	_toComplex	static	returns	number		
498	ComplexTool	_toDouble	static	desc		実数を作成	
499	ComplexTool	_toDouble	static	param	number		
500	ComplexTool	_toDouble	static	returns	number		
501	ComplexTool	_toInteger	static	desc		整数を作成	
502	ComplexTool	_toInteger	static	param	number		
503	ComplexTool	_toInteger	static	returns	number		
504	ComplexTool	intValue	get	desc		32ビット整数に変換	
